PassengerId,Pclass,SibSp,Parch,Cabin,Age_Bins,Fare_bins,Num_family,Sex_0,Sex_1,Embarked_0,Embarked_1,Embarked_2,Title_0,Title_1,Title_2,Title_3,Title_4,Title_5,Title_6,Title_7,Title_8
1,2,1,0,7,1,0,2,False,True,False,False,True,False,False,True,False,False,False,False,False,False
2,0,1,0,2,2,4,2,True,False,True,False,False,False,False,False,True,False,False,False,False,False
3,2,0,0,7,1,0,0,True,False,False,False,True,False,False,False,False,True,False,False,False,False
4,0,1,0,2,2,3,2,True,False,False,False,True,False,False,False,True,False,False,False,False,False
5,2,0,0,7,2,0,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False
6,2,0,0,7,1,0,0,False,True,False,True,False,False,False,True,False,False,False,False,False,False
7,0,0,0,4,4,3,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False
8,2,3,1,7,7,0,5,False,True,False,False,True,False,False,False,False,False,True,False,False,False
9,2,0,2,7,1,0,3,True,False,False,False,True,False,False,False,True,False,False,False,False,False
10,1,1,0,7,0,1,2,True,False,True,False,False,False,False,False,True,False,False,False,False,False
11,2,1,1,6,7,0,3,True,False,False,False,True,False,False,False,False,True,False,False,False,False
12,0,0,0,2,4,3,0,True,False,False,False,True,False,False,False,False,True,False,False,False,False
13,2,0,0,7,0,0,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False
14,2,1,5,7,2,0,7,False,True,False,False,True,False,False,True,False,False,False,False,False,False
15,2,0,0,7,0,0,0,True,False,False,False,True,False,False,False,False,True,False,False,False,False
16,1,0,0,7,4,1,0,True,False,False,False,True,False,False,False,True,False,False,False,False,False
17,2,4,1,7,7,0,6,False,True,False,True,False,False,False,False,False,False,True,False,False,False
18,1,0,0,7,1,1,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False
19,2,1,0,7,2,0,2,True,False,False,False,True,False,False,False,True,False,False,False,False,False
20,2,0,0,7,1,0,0,True,False,True,False,False,False,False,False,True,False,False,False,False,False
21,1,0,0,7,2,1,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False
22,1,0,0,3,2,1,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False
23,2,0,0,7,0,0,0,True,False,False,True,False,False,False,False,False,True,False,False,False,False
24,0,0,0,0,1,4,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False
25,2,3,1,7,7,0,5,True,False,False,False,True,False,False,False,False,True,False,False,False,False
26,2,1,5,7,2,0,7,True,False,False,False,True,False,False,False,True,False,False,False,False,False
27,2,0,0,7,1,0,0,False,True,True,False,False,False,False,True,False,False,False,False,False,False
28,0,3,2,2,0,5,6,False,True,False,False,True,False,False,True,False,False,False,False,False,False
29,2,0,0,7,1,0,0,True,False,False,True,False,False,False,False,False,True,False,False,False,False
30,2,0,0,7,1,0,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False
31,0,0,0,7,2,3,0,False,True,True,False,False,False,False,False,False,False,True,False,False,False
32,0,1,0,1,2,5,2,True,False,True,False,False,False,False,False,True,False,False,False,False,False
33,2,0,0,7,1,0,0,True,False,False,True,False,False,False,False,False,True,False,False,False,False
34,1,0,0,7,5,1,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False
35,0,1,0,7,1,5,2,False,True,True,False,False,False,False,True,False,False,False,False,False,False
36,0,1,0,7,3,3,2,False,True,False,False,True,False,False,True,False,False,False,False,False,False
37,2,0,0,7,1,0,0,False,True,True,False,False,False,False,True,False,False,False,False,False,False
38,2,0,0,7,1,0,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False
39,2,2,0,7,0,0,3,True,False,False,False,True,False,False,False,False,True,False,False,False,False
40,2,1,0,7,0,0,2,True,False,True,False,False,False,False,False,False,True,False,False,False,False
41,2,1,0,7,2,0,2,True,False,False,False,True,False,False,False,True,False,False,False,False,False
42,1,1,0,7,1,1,2,True,False,False,False,True,False,False,False,True,False,False,False,False,False
43,2,0,0,7,1,0,0,False,True,True,False,False,False,False,True,False,False,False,False,False,False
44,1,1,2,7,7,1,4,True,False,True,False,False,False,False,False,False,True,False,False,False,False
45,2,0,0,7,0,0,0,True,False,False,True,False,False,False,False,False,True,False,False,False,False
46,2,0,0,7,1,0,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False
47,2,1,0,7,1,0,2,False,True,False,True,False,False,False,True,False,False,False,False,False,False
48,2,0,0,7,1,0,0,True,False,False,True,False,False,False,False,False,True,False,False,False,False
49,2,2,0,7,1,0,3,False,True,True,False,False,False,False,True,False,False,False,False,False,False
50,2,1,0,7,0,0,2,True,False,False,False,True,False,False,False,True,False,False,False,False,False
51,2,4,1,7,7,0,6,False,True,False,False,True,False,False,False,False,False,True,False,False,False
52,2,0,0,7,1,0,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False
53,0,1,0,3,3,3,2,True,False,True,False,False,False,False,False,True,False,False,False,False,False
54,1,1,0,7,1,1,2,True,False,False,False,True,False,False,False,True,False,False,False,False,False
55,0,0,1,1,5,4,2,False,True,True,False,False,False,False,True,False,False,False,False,False,False
56,0,0,0,2,2,4,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False
57,1,0,0,7,1,1,0,True,False,False,False,True,False,False,False,False,True,False,False,False,False
58,2,0,0,7,1,0,0,False,True,True,False,False,False,False,True,False,False,False,False,False,False
59,1,1,2,7,7,0,4,True,False,False,False,True,False,False,False,False,True,False,False,False,False
60,2,5,2,7,0,0,8,False,True,False,False,True,False,False,False,False,False,True,False,False,False
61,2,0,0,7,1,0,0,False,True,True,False,False,False,False,True,False,False,False,False,False,False
62,0,0,0,1,2,4,0,True,False,True,False,False,False,False,False,False,True,False,False,False,False
63,0,1,0,2,3,5,2,False,True,False,False,True,False,False,True,False,False,False,False,False,False
